01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2011,Entroncamento,Município,Total,,,,,95
2011,Espinho,Município,T0 ou T1,,,,,8
2011,Espinho,Município,T2,,,,,22
2011,Espinho,Município,T3,,,,,32
2011,Espinho,Município,T4 ou mais,,,,,3
2011,Espinho,Município,Total,,,,,65
2011,Esposende,Município,T0 ou T1,,,,,8
2011,Esposende,Município,T2,,,,,18
2011,Esposende,Município,T3,,,,,90
2011,Esposende,Município,T4 ou mais,,,,,54
2011,Esposende,Município,Total,,,,,170
2011,Estarreja,Município,T0 ou T1,,,,,1
2011,Estarreja,Município,T2,,,,,16
2011,Estarreja,Município,T3,,,,,41
2011,Estarreja,Município,T4 ou mais,,,,,10
2011,Estarreja,Município,Total,,,,,68
2011,Estremoz,Município,T0 ou T1,,,,,0
2011,Estremoz,Município,T2,,,,,3
2011,Estremoz,Município,T3,,,,,15
2011,Estremoz,Município,T4 ou mais,,,,,6
2011,Estremoz,Município,Total,,,,,24
2011,Évora,Município,T0 ou T1,,,,,4
2011,Évora,Município,T2,,,,,15
2011,Évora,Município,T3,,,,,30
2011,Évora,Município,T4 ou mais,,,,,34
2011,Évora,Município,Total,,,,,83
2011,Fafe,Município,T0 ou T1,,,,,0
2011,Fafe,Município,T2,,,,,23
2011,Fafe,Município,T3,,,,,149
2011,Fafe,Município,T4 ou mais,,,,,24
2011,Fafe,Município,Total,,,,,196
2011,Faro,Município,T0 ou T1,,,,,29
2011,Faro,Município,T2,,,,,56
2011,Faro,Município,T3,,,,,84
2011,Faro,Município,T4 ou mais,,,,,19
2011,Faro,Município,Total,,,,,188
2011,Felgueiras,Município,T0 ou T1,,,,,1
2011,Felgueiras,Município,T2,,,,,9
2011,Felgueiras,Município,T3,,,,,72
2011,Felgueiras,Município,T4 ou mais,,,,,17
2011,Felgueiras,Município,Total,,,,,99
2011,Ferreira do Alentejo,Município,T0 ou T1,,,,,0
2011,Ferreira do Alentejo,Município,T2,,,,,2
2011,Ferreira do Alentejo,Município,T3,,,,,4
2011,Ferreira do Alentejo,Município,T4 ou mais,,,,,1
2011,Ferreira do Alentejo,Município,Total,,,,,7
2011,Ferreira do Zêzere,Município,T0 ou T1,,,,,1
2011,Ferreira do Zêzere,Município,T2,,,,,3
2011,Ferreira do Zêzere,Município,T3,,,,,12
2011,Ferreira do Zêzere,Município,T4 ou mais,,,,,13
2011,Ferreira do Zêzere,Município,Total,,,,,29
2011,Figueira da Foz,Município,T0 ou T1,,,,,32
2011,Figueira da Foz,Município,T2,,,,,75
2011,Figueira da Foz,Município,T3,,,,,86
2011,Figueira da Foz,Município,T4 ou mais,,,,,44
2011,Figueira da Foz,Município,Total,,,,,237
2011,Figueira de Castelo Rodrigo,Município,T0 ou T1,,,,,0
2011,Figueira de Castelo Rodrigo,Município,T2,,,,,1
2011,Figueira de Castelo Rodrigo,Município,T3,,,,,4
2011,Figueira de Castelo Rodrigo,Município,T4 ou mais,,,,,6
2011,Figueira de Castelo Rodrigo,Município,Total,,,,,11
2011,Figueiró dos Vinhos,Município,T0 ou T1,,,,,0
2011,Figueiró dos Vinhos,Município,T2,,,,,1
2011,Figueiró dos Vinhos,Município,T3,,,,,3
2011,Figueiró dos Vinhos,Município,T4 ou mais,,,,,4
